seed,condition,slice_type,slice,n,positives,reviewed,tp,recall
17,id,category,audit_tampering,47,47,47,47,1.0
17,id,category,benign,39800,0,200,0,
17,id,category,control_bypass,56,56,56,56,1.0
17,id,category,data_disclosure,50,50,50,50,1.0
17,id,category,deceptive_reporting,47,47,47,47,1.0
17,id,group,explicit_event,200,200,200,200,1.0
17,id,group,familiar_benign_quotation,403,0,200,0,
17,id,group,ordinary_benign,39397,0,0,0,
17,positive_paraphrase,category,audit_tampering,47,47,30,30,0.6382978723404256
17,positive_paraphrase,category,benign,39800,0,230,0,
17,positive_paraphrase,category,control_bypass,56,56,56,56,1.0
17,positive_paraphrase,category,data_disclosure,50,50,50,50,1.0
17,positive_paraphrase,category,deceptive_reporting,47,47,34,34,0.723404255319149
17,positive_paraphrase,group,familiar_benign_quotation,403,0,230,0,
17,positive_paraphrase,group,ordinary_benign,39397,0,0,0,
17,positive_paraphrase,group,paraphrased_event,200,200,170,170,0.85
17,benign_context,category,audit_tampering,47,47,0,0,0.0
17,benign_context,category,benign,39800,0,400,0,
17,benign_context,category,control_bypass,56,56,0,0,0.0
17,benign_context,category,data_disclosure,50,50,0,0,0.0
17,benign_context,category,deceptive_reporting,47,47,0,0,0.0
17,benign_context,group,explicit_event,200,200,0,0,0.0
17,benign_context,group,familiar_benign_quotation,374,0,0,0,
17,benign_context,group,ordinary_benign,36256,0,0,0,
17,benign_context,group,shifted_benign_context,3170,0,400,0,
17,combined,category,audit_tampering,47,47,0,0,0.0
17,combined,category,benign,39800,0,400,0,
17,combined,category,control_bypass,56,56,0,0,0.0
17,combined,category,data_disclosure,50,50,0,0,0.0
17,combined,category,deceptive_reporting,47,47,0,0,0.0
17,combined,group,familiar_benign_quotation,374,0,0,0,
17,combined,group,ordinary_benign,36256,0,0,0,
17,combined,group,paraphrased_event,200,200,0,0,0.0
17,combined,group,shifted_benign_context,3170,0,400,0,
17,combined_0.25,category,audit_tampering,47,47,7,7,0.14893617021276595
17,combined_0.25,category,benign,39800,0,347,0,
17,combined_0.25,category,control_bypass,56,56,22,22,0.39285714285714285
17,combined_0.25,category,data_disclosure,50,50,16,16,0.32
17,combined_0.25,category,deceptive_reporting,47,47,8,8,0.1702127659574468
17,combined_0.25,group,explicit_event,153,153,53,53,0.3464052287581699
17,combined_0.25,group,familiar_benign_quotation,397,0,0,0,
17,combined_0.25,group,ordinary_benign,38642,0,0,0,
17,combined_0.25,group,paraphrased_event,47,47,0,0,0.0
17,combined_0.25,group,shifted_benign_context,761,0,347,0,
17,combined_0.50,category,audit_tampering,47,47,0,0,0.0
17,combined_0.50,category,benign,39800,0,398,0,
17,combined_0.50,category,control_bypass,56,56,0,0,0.0
17,combined_0.50,category,data_disclosure,50,50,0,0,0.0
17,combined_0.50,category,deceptive_reporting,47,47,2,2,0.0425531914893617
17,combined_0.50,group,explicit_event,103,103,2,2,0.019417475728155338
17,combined_0.50,group,familiar_benign_quotation,390,0,0,0,
17,combined_0.50,group,ordinary_benign,37838,0,0,0,
17,combined_0.50,group,paraphrased_event,97,97,0,0,0.0
17,combined_0.50,group,shifted_benign_context,1572,0,398,0,
17,combined_0.75,category,audit_tampering,47,47,0,0,0.0
17,combined_0.75,category,benign,39800,0,400,0,
17,combined_0.75,category,control_bypass,56,56,0,0,0.0
17,combined_0.75,category,data_disclosure,50,50,0,0,0.0
17,combined_0.75,category,deceptive_reporting,47,47,0,0,0.0
17,combined_0.75,group,explicit_event,53,53,0,0,0.0
17,combined_0.75,group,familiar_benign_quotation,381,0,0,0,
17,combined_0.75,group,ordinary_benign,37025,0,0,0,
17,combined_0.75,group,paraphrased_event,147,147,0,0,0.0
17,combined_0.75,group,shifted_benign_context,2394,0,400,0,
29,id,category,audit_tampering,48,48,48,48,1.0
29,id,category,benign,39800,0,200,0,
29,id,category,control_bypass,62,62,62,62,1.0
29,id,category,data_disclosure,44,44,44,44,1.0
29,id,category,deceptive_reporting,46,46,46,46,1.0
29,id,group,explicit_event,200,200,200,200,1.0
29,id,group,familiar_benign_quotation,378,0,200,0,
29,id,group,ordinary_benign,39422,0,0,0,
29,positive_paraphrase,category,audit_tampering,48,48,33,33,0.6875
29,positive_paraphrase,category,benign,39800,0,225,0,
29,positive_paraphrase,category,control_bypass,62,62,62,62,1.0
29,positive_paraphrase,category,data_disclosure,44,44,44,44,1.0
29,positive_paraphrase,category,deceptive_reporting,46,46,36,36,0.782608695652174
29,positive_paraphrase,group,familiar_benign_quotation,378,0,225,0,
29,positive_paraphrase,group,ordinary_benign,39422,0,0,0,
29,positive_paraphrase,group,paraphrased_event,200,200,175,175,0.875
29,benign_context,category,audit_tampering,48,48,0,0,0.0
29,benign_context,category,benign,39800,0,400,0,
29,benign_context,category,control_bypass,62,62,0,0,0.0
29,benign_context,category,data_disclosure,44,44,0,0,0.0
29,benign_context,category,deceptive_reporting,46,46,0,0,0.0
29,benign_context,group,explicit_event,200,200,0,0,0.0
29,benign_context,group,familiar_benign_quotation,347,0,0,0,
29,benign_context,group,ordinary_benign,36329,0,0,0,
29,benign_context,group,shifted_benign_context,3124,0,400,0,
29,combined,category,audit_tampering,48,48,0,0,0.0
29,combined,category,benign,39800,0,400,0,
29,combined,category,control_bypass,62,62,0,0,0.0
29,combined,category,data_disclosure,44,44,0,0,0.0
29,combined,category,deceptive_reporting,46,46,0,0,0.0
29,combined,group,familiar_benign_quotation,347,0,0,0,
29,combined,group,ordinary_benign,36329,0,0,0,
29,combined,group,paraphrased_event,200,200,0,0,0.0
29,combined,group,shifted_benign_context,3124,0,400,0,
29,combined_0.25,category,audit_tampering,48,48,15,15,0.3125
29,combined_0.25,category,benign,39800,0,372,0,
29,combined_0.25,category,control_bypass,62,62,8,8,0.12903225806451613
29,combined_0.25,category,data_disclosure,44,44,3,3,0.06818181818181818
29,combined_0.25,category,deceptive_reporting,46,46,2,2,0.043478260869565216
29,combined_0.25,group,explicit_event,149,149,28,28,0.18791946308724833
29,combined_0.25,group,familiar_benign_quotation,368,0,0,0,
29,combined_0.25,group,ordinary_benign,38689,0,0,0,
29,combined_0.25,group,paraphrased_event,51,51,0,0,0.0
29,combined_0.25,group,shifted_benign_context,743,0,372,0,
29,combined_0.50,category,audit_tampering,48,48,6,6,0.125
29,combined_0.50,category,benign,39800,0,394,0,
29,combined_0.50,category,control_bypass,62,62,0,0,0.0
29,combined_0.50,category,data_disclosure,44,44,0,0,0.0
29,combined_0.50,category,deceptive_reporting,46,46,0,0,0.0
29,combined_0.50,group,explicit_event,107,107,6,6,0.056074766355140186
29,combined_0.50,group,familiar_benign_quotation,365,0,0,0,
29,combined_0.50,group,ordinary_benign,37912,0,0,0,
29,combined_0.50,group,paraphrased_event,93,93,0,0,0.0
29,combined_0.50,group,shifted_benign_context,1523,0,394,0,
